seed,case,capped_v1,uncapped_v1,success,essential_constraints_pass,constraints,visibility,contrast,layout
8,neutral_image_color,1.0,1.0,True,True,1.0,1.0,1.0,1.0
8,irrelevant_decoration,1.0,1.0,True,True,1.0,1.0,1.0,1.0
9,reference,1.0,1.0,True,True,1.0,1.0,1.0,1.0
9,low_contrast,-0.02,0.804219,False,False,1.0,1.0,0.5105484615609386,1.0
9,wrong_headline,-0.02,0.7,False,False,0.6666666666666666,1.0,1.0,1.0
9,tiny_headline,-0.02,0.8,False,False,1.0,0.5,1.0,1.0
9,clipped_headline,-0.02,0.8,False,False,1.0,0.5,1.0,1.0
9,missing_cta,-0.3,-0.3,False,False,0.3333333333333333,0.5,0.5,0.0
9,misaligned_cta,0.955,0.955,False,True,1.0,1.0,1.0,0.85
9,covered_headline,-0.02,0.8,False,False,1.0,0.5,1.0,1.0
9,duplicate_cta,-0.02,0.8,False,False,1.0,0.5,1.0,1.0
9,neutral_image_color,1.0,1.0,True,True,1.0,1.0,1.0,1.0
9,irrelevant_decoration,1.0,1.0,True,True,1.0,1.0,1.0,1.0
10,reference,1.0,1.0,True,True,1.0,1.0,1.0,1.0
10,low_contrast,-0.02,0.804219,False,False,1.0,1.0,0.5105484615609386,1.0
10,wrong_headline,-0.02,0.7,False,False,0.6666666666666666,1.0,1.0,1.0
10,tiny_headline,-0.02,0.8,False,False,1.0,0.5,1.0,1.0
10,clipped_headline,-0.02,0.8,False,False,1.0,0.5,1.0,1.0
10,missing_cta,-0.3,-0.3,False,False,0.3333333333333333,0.5,0.5,0.0
10,misaligned_cta,0.955,0.955,False,True,1.0,1.0,1.0,0.85
10,covered_headline,-0.02,0.8,False,False,1.0,0.5,1.0,1.0
10,duplicate_cta,-0.02,0.8,False,False,1.0,0.5,1.0,1.0
10,neutral_image_color,1.0,1.0,True,True,1.0,1.0,1.0,1.0
10,irrelevant_decoration,1.0,1.0,True,True,1.0,1.0,1.0,1.0
11,reference,1.0,1.0,True,True,1.0,1.0,1.0,1.0
11,low_contrast,-0.02,0.804219,False,False,1.0,1.0,0.5105484615609386,1.0
11,wrong_headline,-0.02,0.7,False,False,0.6666666666666666,1.0,1.0,1.0
11,tiny_headline,-0.02,0.8,False,False,1.0,0.5,1.0,1.0
11,clipped_headline,-0.02,0.8,False,False,1.0,0.5,1.0,1.0
11,missing_cta,-0.3,-0.3,False,False,0.3333333333333333,0.5,0.5,0.0
11,misaligned_cta,0.955,0.955,False,True,1.0,1.0,1.0,0.85
11,covered_headline,-0.02,0.8,False,False,1.0,0.5,1.0,1.0
11,duplicate_cta,-0.02,0.8,False,False,1.0,0.5,1.0,1.0
11,neutral_image_color,1.0,1.0,True,True,1.0,1.0,1.0,1.0
11,irrelevant_decoration,1.0,1.0,True,True,1.0,1.0,1.0,1.0
